## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[capture_targets_interval_list] TARGET_INTERVALS=[primary_targets_interval_list] INPUT=HN51.dedup_reads.bam OUTPUT=hs_metrics_HN51_t.txt REFERENCE_SEQUENCE=hg19.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jul 12 12:00:29 BST 2018

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
capture_targets_interval_list	3095677412	64190747	63564965	0.990251	251944834	251944834	224300179	1	0.890275	224255665	0.999802	24364645743	21728558577	12601995181	8893312214	2869338348	9195406720	0.882234	0.117766	0.586267	196.321055	144.661556	125	6462	0.516705	0.377029	24.943792	0.014251	0.108193	0.117227	0.007098	0.013291	0.756064	2.159128	0.977887	0.973318	0.955644	0.941409	0.926439	0.905341	0.874779	0.629068	447630590	5.185913	5.280141	5.371229	5.468598	5.572249	6.182849	0.001257	14.960514	0.971134	15			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	1405618	0
1	290418	0
2	203165	0
3	169150	0
4	151360	0
5	137493	1797420
6	125932	2784106
7	118091	13953191
8	112367	13723026
9	105893	8172905
10	102087	9334422
11	97680	3840781
12	93637	3161363
13	91253	5974303
14	89257	3443933
15	87797	10915589
16	85967	10599337
17	85411	12842316
18	85960	29725325
19	85810	18065687
20	87031	26123141
21	87683	12137508
22	89173	21446409
23	90447	37157365
24	91670	50637927
25	94535	64086091
26	97526	84572065
27	100519	89774661
28	104609	64045333
29	108348	129800585
30	112137	195008060
31	116326	289941094
32	121634	230011760
33	126658	351249558
34	130995	640656127
35	135989	959455257
36	141089	460368178
37	146285	694280391
38	152391	577632782
39	157584	778264708
40	162925	948965745
41	170895	1152954833
42	177948	0
43	185884	0
44	192288	0
45	197944	0
46	204411	0
47	210817	0
48	216535	0
49	223031	0
50	229809	0
51	235413	0
52	241748	0
53	247132	0
54	252804	0
55	257600	0
56	263229	0
57	268598	0
58	272958	0
59	278319	0
60	283503	0
61	288181	0
62	291989	0
63	296305	0
64	299397	0
65	303466	0
66	307486	0
67	309675	0
68	312485	0
69	314646	0
70	318702	0
71	319796	0
72	322364	0
73	324057	0
74	326614	0
75	328345	0
76	329755	0
77	332463	0
78	332734	0
79	332702	0
80	334414	0
81	335060	0
82	338070	0
83	338926	0
84	340407	0
85	341194	0
86	340786	0
87	341693	0
88	342013	0
89	341611	0
90	341756	0
91	341436	0
92	341612	0
93	340998	0
94	341879	0
95	339461	0
96	340254	0
97	339281	0
98	337724	0
99	337799	0
100	336116	0
101	335623	0
102	334330	0
103	333493	0
104	332307	0
105	330843	0
106	331039	0
107	329068	0
108	328281	0
109	327295	0
110	325516	0
111	325229	0
112	323957	0
113	322483	0
114	321228	0
115	319591	0
116	320010	0
117	318251	0
118	316414	0
119	314320	0
120	314435	0
121	311585	0
122	309990	0
123	308884	0
124	307042	0
125	307187	0
126	305137	0
127	302002	0
128	300179	0
129	299549	0
130	297657	0
131	294944	0
132	294165	0
133	291122	0
134	290473	0
135	288799	0
136	287611	0
137	285658	0
138	284910	0
139	283579	0
140	281745	0
141	280434	0
142	278969	0
143	277107	0
144	274650	0
145	272452	0
146	270810	0
147	268074	0
148	266176	0
149	265331	0
150	262527	0
151	261983	0
152	259477	0
153	257499	0
154	256679	0
155	253928	0
156	251619	0
157	249451	0
158	248586	0
159	245841	0
160	242980	0
161	241410	0
162	240563	0
163	237651	0
164	236702	0
165	234436	0
166	231618	0
167	230600	0
168	228640	0
169	226686	0
170	225606	0
171	223963	0
172	222058	0
173	219771	0
174	218620	0
175	216577	0
176	214114	0
177	211532	0
178	210269	0
179	208278	0
180	205795	0
181	204144	0
182	202043	0
183	200830	0
184	198290	0
185	195942	0
186	194522	0
187	192863	0
188	190145	0
189	188984	0
190	186552	0
191	184873	0
192	183284	0
193	181696	0
194	179765	0
195	178807	0
196	176070	0
197	174029	0
198	171733	0
199	169827	0
200	13930755	0

