## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[capture_targets_interval_list] TARGET_INTERVALS=[primary_targets_interval_list] INPUT=HN60.dedup_reads.bam OUTPUT=hs_metrics_HN60_r.txt REFERENCE_SEQUENCE=hg19.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jul 12 12:59:27 BST 2018

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
capture_targets_interval_list	3095677412	64190747	63564965	0.990251	216782354	216782354	193226912	1	0.891341	193190320	0.999811	21096318542	18830027211	11009899922	7386878504	2699540116	8012452417	0.872037	0.127963	0.598469	171.518489	126.051394	104	6310	0.521224	0.379321	25.168653	0.014664	0.107426	0.112905	0.006124	0.020574	0.753856	2.334285	0.977471	0.972575	0.952552	0.934144	0.909222	0.871848	0.822686	0.5241	382923072	5.602276	5.716519	5.852523	5.985807	6.124532	7.025423	0.001219	14.287257	0.970067	15			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	1432086	0
1	311208	0
2	223989	0
3	188359	0
4	172113	0
5	159262	1423114
6	145594	2088113
7	133821	10414870
8	127773	10040697
9	121825	5839568
10	117568	6543042
11	115458	2836810
12	114129	2441031
13	113554	4582589
14	112786	2608127
15	114021	8437538
16	116025	8088830
17	118861	10111080
18	121817	22789688
19	125882	13651291
20	130214	20761021
21	134573	9339553
22	139661	16437706
23	146273	29191075
24	151644	39620591
25	160333	51355987
26	167823	66034135
27	175995	71241537
28	183813	49266269
29	193833	102047361
30	201451	156205476
31	209870	235273716
32	218111	184046618
33	225115	291306751
34	233400	549594257
35	241893	886402665
36	249507	398559281
37	257628	623813251
38	266104	479827427
39	272578	699809240
40	280292	841420842
41	287596	1154330425
42	294207	0
43	302987	0
44	310101	0
45	316085	0
46	324839	0
47	330301	0
48	336933	0
49	341648	0
50	347169	0
51	351628	0
52	356610	0
53	360248	0
54	362931	0
55	365656	0
56	370276	0
57	374891	0
58	378519	0
59	379489	0
60	381462	0
61	382783	0
62	385965	0
63	385726	0
64	389074	0
65	391176	0
66	391071	0
67	391944	0
68	393224	0
69	393042	0
70	394750	0
71	394302	0
72	393682	0
73	393975	0
74	394129	0
75	394296	0
76	395220	0
77	394674	0
78	392922	0
79	392691	0
80	389882	0
81	388297	0
82	386014	0
83	384331	0
84	383867	0
85	383395	0
86	381765	0
87	379490	0
88	378260	0
89	377494	0
90	375412	0
91	373759	0
92	371187	0
93	370720	0
94	367670	0
95	366266	0
96	364178	0
97	363336	0
98	361178	0
99	359578	0
100	356770	0
101	354781	0
102	352604	0
103	349915	0
104	347380	0
105	345044	0
106	343436	0
107	340220	0
108	337830	0
109	337012	0
110	333689	0
111	333280	0
112	329071	0
113	325689	0
114	323841	0
115	320962	0
116	317883	0
117	313870	0
118	310792	0
119	309536	0
120	307043	0
121	304055	0
122	302303	0
123	299708	0
124	296961	0
125	293477	0
126	291134	0
127	288830	0
128	286529	0
129	283473	0
130	280889	0
131	276488	0
132	274658	0
133	271726	0
134	269848	0
135	267379	0
136	264718	0
137	261028	0
138	258356	0
139	256301	0
140	253005	0
141	250249	0
142	246987	0
143	245246	0
144	242745	0
145	239385	0
146	237885	0
147	234397	0
148	232522	0
149	229990	0
150	227269	0
151	225229	0
152	222513	0
153	219271	0
154	217687	0
155	214312	0
156	212403	0
157	210628	0
158	208282	0
159	206928	0
160	203822	0
161	201485	0
162	199343	0
163	196712	0
164	195076	0
165	192321	0
166	190409	0
167	187596	0
168	184555	0
169	182054	0
170	180363	0
171	178821	0
172	175785	0
173	173504	0
174	171981	0
175	169854	0
176	168296	0
177	166397	0
178	164183	0
179	161644	0
180	159389	0
181	158215	0
182	155572	0
183	153501	0
184	152115	0
185	149918	0
186	147736	0
187	145943	0
188	144198	0
189	142279	0
190	140314	0
191	138302	0
192	136583	0
193	134668	0
194	133373	0
195	131448	0
196	130155	0
197	127996	0
198	126766	0
199	124734	0
200	9941574	0

