## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[capture_targets_interval_list] TARGET_INTERVALS=[primary_targets_interval_list] INPUT=HN72.dedup_reads.bam OUTPUT=hs_metrics_HN72AC_R.txt REFERENCE_SEQUENCE=hg19.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jul 16 09:49:40 BST 2018

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
capture_targets_interval_list	3095677412	64190747	63564965	0.990251	162135474	162135474	159224859	1	0.982048	157278936	0.987779	15329393396	15058036798	1795316134	1403000517	12131076745	1350747256	0.208639	0.791361	0.561332	27.968457	21.24987	16	3528	0.115405	0.086827	5.648059	0.023036	0.017702	0.049721	0.001431	0.09565	0.835106	2.361097	0.955264	0.942144	0.782148	0.38855	0.166366	0.084629	0.052594	0.016171	400468946	26.920905	27.581165	28.320027	29.043169	29.892074	35.098695	1.829446	6.591985	0.925825	11			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	2843659	0
1	833957	0
2	659232	0
3	706437	0
4	844105	0
5	1058483	111789
6	1309374	162465
7	1590495	1086229
8	1872350	814769
9	2129693	412571
10	2340169	982193
11	2501164	831780
12	2612460	247499
13	2679630	426709
14	2694196	226801
15	2639049	730756
16	2567030	3235979
17	2461671	1002834
18	2332255	1886309
19	2191412	1127619
20	2039666	2234312
21	1888396	752514
22	1732415	1326593
23	1583703	2665310
24	1450141	3302776
25	1312253	5847958
26	1188851	5727754
27	1076039	6558855
28	974157	6405455
29	877486	10949971
30	793013	16078622
31	713787	26539374
32	642033	22424485
33	579552	44609167
34	519959	102734731
35	467451	171687503
36	423930	53169597
37	385371	115828546
38	350932	64671882
39	319544	137145008
40	290803	169111076
41	265288	359759108
42	241596	0
43	222847	0
44	204274	0
45	187522	0
46	173877	0
47	160461	0
48	150338	0
49	139322	0
50	129724	0
51	120320	0
52	111841	0
53	104476	0
54	97448	0
55	91408	0
56	86464	0
57	80973	0
58	76438	0
59	71701	0
60	67988	0
61	64649	0
62	61237	0
63	58322	0
64	55071	0
65	52028	0
66	49819	0
67	47432	0
68	45638	0
69	43616	0
70	42277	0
71	40247	0
72	38778	0
73	37192	0
74	35505	0
75	34717	0
76	33720	0
77	32735	0
78	30908	0
79	29964	0
80	29087	0
81	27844	0
82	26857	0
83	25911	0
84	25097	0
85	24556	0
86	23658	0
87	22747	0
88	22124	0
89	21686	0
90	21472	0
91	20760	0
92	20477	0
93	20012	0
94	19415	0
95	18917	0
96	18560	0
97	17986	0
98	17882	0
99	17527	0
100	17292	0
101	17086	0
102	16863	0
103	16574	0
104	16156	0
105	15749	0
106	15156	0
107	14921	0
108	14694	0
109	14717	0
110	14552	0
111	14616	0
112	14328	0
113	14029	0
114	13572	0
115	13191	0
116	12861	0
117	12759	0
118	12436	0
119	12371	0
120	12437	0
121	12195	0
122	12100	0
123	11828	0
124	12104	0
125	11842	0
126	11555	0
127	11570	0
128	11033	0
129	11130	0
130	10969	0
131	10912	0
132	10796	0
133	10540	0
134	10331	0
135	10342	0
136	10209	0
137	10220	0
138	9773	0
139	9805	0
140	9759	0
141	9411	0
142	9356	0
143	9271	0
144	9309	0
145	8833	0
146	8703	0
147	8427	0
148	8431	0
149	8347	0
150	8233	0
151	7867	0
152	7733	0
153	7751	0
154	7578	0
155	7313	0
156	7296	0
157	7252	0
158	7050	0
159	7045	0
160	6932	0
161	6603	0
162	6687	0
163	6251	0
164	6112	0
165	6178	0
166	6095	0
167	5903	0
168	5947	0
169	5798	0
170	5755	0
171	5605	0
172	5490	0
173	5354	0
174	5140	0
175	5088	0
176	5047	0
177	4807	0
178	4639	0
179	4620	0
180	4473	0
181	4487	0
182	4225	0
183	4160	0
184	4005	0
185	3851	0
186	3734	0
187	3800	0
188	3639	0
189	3767	0
190	3550	0
191	3475	0
192	3405	0
193	3364	0
194	3230	0
195	3168	0
196	2990	0
197	3072	0
198	3012	0
199	2893	0
200	160996	0

