## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[capture_targets_interval_list] TARGET_INTERVALS=[primary_targets_interval_list] INPUT=HN72.dedup_reads.bam OUTPUT=hs_metrics_HN72_T.txt REFERENCE_SEQUENCE=hg19.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jul 16 10:59:06 BST 2018

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
capture_targets_interval_list	3095677412	64190747	63564965	0.990251	235965160	235965160	231005208	1	0.97898	229228059	0.992307	22643517370	22175163854	2885053830	2138888429	17619575111	2128559802	0.221871	0.778129	0.574261	44.945011	33.486368	26	14591	0.126124	0.093053	6.144596	0.022635	0.020684	0.051611	0.000774	0.099606	0.82669	2.391883	0.955441	0.943229	0.874933	0.662122	0.404679	0.23287	0.140761	0.034143	452677042	25.430391	25.991253	26.528747	27.148032	27.771992	31.810202	0.496711	9.059913	0.93663	12			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	2832420	0
1	776253	0
2	512005	0
3	441494	0
4	428273	0
5	458384	156942
6	507261	235234
7	571312	1670787
8	659508	1268894
9	762955	718391
10	880026	895621
11	999345	380506
12	1119279	329326
13	1233427	576945
14	1337483	347029
15	1441971	1133944
16	1536024	1185488
17	1604937	1430022
18	1665496	3254375
19	1709341	1712615
20	1731389	3036601
21	1735471	1266602
22	1734908	2235872
23	1713873	4181970
24	1687865	5606107
25	1654646	7581811
26	1606193	9706004
27	1557289	11062197
28	1499669	7383776
29	1443090	19133255
30	1376937	25885820
31	1312401	45273246
32	1246229	37509207
33	1179288	66309630
34	1115045	172448540
35	1053511	243286543
36	994831	83162266
37	936213	182874727
38	882261	104026617
39	824275	207496702
40	772715	260030141
41	725222	537155381
42	679420	0
43	635542	0
44	595510	0
45	556999	0
46	519292	0
47	487681	0
48	455764	0
49	426779	0
50	400269	0
51	376401	0
52	354472	0
53	331629	0
54	311103	0
55	291677	0
56	272239	0
57	256121	0
58	240815	0
59	226879	0
60	214971	0
61	201563	0
62	189299	0
63	178390	0
64	169557	0
65	160509	0
66	151584	0
67	143820	0
68	135395	0
69	128107	0
70	121242	0
71	115709	0
72	109004	0
73	104433	0
74	99652	0
75	95455	0
76	90719	0
77	86732	0
78	82584	0
79	78673	0
80	75333	0
81	72000	0
82	69419	0
83	66660	0
84	63829	0
85	61364	0
86	59062	0
87	57067	0
88	54339	0
89	52323	0
90	50788	0
91	48666	0
92	46163	0
93	44604	0
94	43093	0
95	41444	0
96	40170	0
97	38336	0
98	37128	0
99	36386	0
100	35158	0
101	34408	0
102	33558	0
103	32125	0
104	31355	0
105	30498	0
106	29648	0
107	28630	0
108	27351	0
109	26365	0
110	25922	0
111	25430	0
112	24637	0
113	24181	0
114	23395	0
115	22943	0
116	22456	0
117	21496	0
118	20910	0
119	20263	0
120	20326	0
121	19486	0
122	18941	0
123	18387	0
124	18041	0
125	17683	0
126	17653	0
127	17029	0
128	16918	0
129	16460	0
130	16452	0
131	15892	0
132	15922	0
133	15090	0
134	14967	0
135	14565	0
136	14546	0
137	14194	0
138	13957	0
139	13715	0
140	13584	0
141	13441	0
142	13064	0
143	12985	0
144	12845	0
145	12698	0
146	12418	0
147	12188	0
148	11981	0
149	12109	0
150	11846	0
151	11568	0
152	11502	0
153	11268	0
154	11165	0
155	11030	0
156	11143	0
157	10786	0
158	10772	0
159	10587	0
160	10641	0
161	10494	0
162	10312	0
163	10240	0
164	10044	0
165	9874	0
166	9936	0
167	9508	0
168	9711	0
169	9508	0
170	9506	0
171	9526	0
172	9332	0
173	9302	0
174	9141	0
175	8987	0
176	8916	0
177	8856	0
178	8741	0
179	8814	0
180	8759	0
181	8791	0
182	8785	0
183	8630	0
184	8471	0
185	8577	0
186	8458	0
187	8187	0
188	8138	0
189	8084	0
190	7874	0
191	7734	0
192	7742	0
193	7597	0
194	7466	0
195	7619	0
196	7402	0
197	7491	0
198	7341	0
199	7214	0
200	708604	0

